"KrillID","slope","rsq","SensorName","TrialID","MOATS","Treatment","LoadingLocation","VialNum","WetWeight","CorrSlope","CorrWeightSlope"
"Trial01_KrilLR19",-1.70027524961327,0.0179258392469077,"KRLr3_42","Trial03","13","CHG","B3",4,0.015,6.88215133412833,458.810088941889
"Trial01_KrILR110",-5.67737939404369,0.448923043351982,"KRLr3_46","Trial03","13","CHG","D1",8,0.0261,2.90504718969791,111.30449002674
"Trial01_KriLR111",-2.10758740341376,0.350887147327478,"KRLr3_48","Trial03","13","CHG","F1",10,0.0317,6.47483918032784,204.253601903086
"Trial01_KriLR112",-8.63610136932624,0.512074903672048,"KRLr3_53","Trial03","13","CHG","H5",15,0.021,-0.05367478558464,-2.55594217069714
"Trial01_KriLR113",-9.7587237474258,0.811363774417969,"KRLr3_56","Trial03","13","CHG","J3",18,0.0202,-1.1762971636842,-58.2325328556537
"Trial01_KriLR114",-7.51985233334802,0.547900358365454,"KRLr4_69","Trial04","13","CHG","G4",12,0.0252,1.39750926550058,55.4567168849438
"Trial01_KriLR115",-16.8452347901196,0.83632926436708,"KrilLR11","Trial01","12","CUR","A1",1,0.0303,-3.88803218633116,-128.317893938322
"Trial01_KriLR116",-18.9104924362812,0.877623518817862,"KrilLR13","Trial01","12","CUR","B2",3,0.025,-5.95328983249279,-238.131593299711
"Trial01_KriLR117",-7.29601365067834,0.60349993513451,"KrilLR18","Trial01","12","CUR","E1",8,0.0299,5.66118895311007,189.337423180939
"Trial01_KriLR118",-9.36009143080251,0.55809088652352,"KriLR114","Trial01","12","CUR","H4",14,0.0169,3.5971111729859,212.84681496958
"Trial01_KriLR119",-19.1662536154212,0.779700594151202,"KriLR220","Trial02","12","CUR","A1",1,0.0225,-12.3961278839589,-550.939017064838
"Trial02_KriLR220",-18.1185431735348,0.916433435555335,"KriLR226","Trial02","12","CUR","C5",7,0.0227,-11.3484174420725,-499.930283791741
"Trial02_KriLR223",-12.7712136879695,0.405783646426086,"KriLR232","Trial02","12","CUR","G5",13,0.0465,-6.00108795650717,-129.055654978649
"Trial02_KriLR227",-9.41005119007887,0.696618271302926,"KRLr4_62","Trial04","10","CUR","C2",5,0.0174,-0.492689591230269,-28.315493748866
"Trial02_KriLR230",-0.656012723065727,0.00353281237681846,"KRLr4_70","Trial04","10","CUR","H1",13,0.0315,8.26134887578288,262.265043675647
"Trial02_KriLR233",-8.63496785989812,0.94481272700835,"KRLr4_75","Trial04","10","CUR","J1",18,0.0271,0.282393738950484,10.4204331716046
"Trial02_KriLR234",-3.17988554903945,0.255153537476696,"KRLr4_76","Trial04","10","CUR","J3",19,0.0246,5.73747604980916,233.23073373208
"Trial02_KriLR235",-9.09050940946651,0.426606774683873,"KrilLR16","Trial01","8","CHG","C3",6,0.0437,3.86669319432191,88.4826817922634
"Trial03_KRLr3_39",-5.87632844536925,0.463217483149302,"KrilLR17","Trial01","8","CHG","C5",7,0.0329,7.08087415841917,215.224138553774
"Trial03_KRLr3_40",-19.1634100836249,0.938811145128734,"KrILR110","Trial01","8","CHG","G1",10,0.0255,-6.20620747983653,-243.380685483785
"Trial03_KRLr3_41",-9.75486751486245,0.556302709767905,"KriLR116","Trial01","8","CHG","I3",16,0.051,3.20233508892596,62.7908840965875
"Trial03_KRLr3_42",-4.9455757467238,0.523711599819562,"KriLR117","Trial01","8","CHG","I5",17,0.0393,8.01162685706461,203.858189747191
"Trial03_KRLr3_43",-0.846883550251909,0.0774877155043916,"KRLr3_41","Trial03","7","CUR","B1",3,0.0252,7.73554303348969,306.965993392448
"Trial03_KRLr3_44",-15.4192243134875,0.781728082484172,"KRLr3_47","Trial03","7","CUR","D5",9,0.0396,-6.83679772974588,-172.646407316815
"Trial03_KRLr3_45",-6.28811939953225,0.329840790479173,"KRLr3_51","Trial03","7","CUR","H1",13,0.0305,2.29430718420935,75.2231863675196
"Trial03_KRLr3_46",-15.0602326339642,0.874644021445926,"KRLr3_57","Trial03","7","CUR","J5",19,0.045,-6.47780605022262,-143.951245560503
"Trial03_KRLr3_47",-16.6578749425877,0.937738154371597,"KRLr4_64","Trial04","7","CUR","D1",7,0.0245,-7.74051334373907,-315.939320152615
"Trial03_KRLr3_48",-14.0298474297025,0.896911188971428,"KrilLR14","Trial01","6","TMP","B4",4,0.0193,-1.0726448259141,-55.5774521199015
"Trial03_KRLr3_49",-0.203467055797996,0.00241434612959252,"KrilLR15","Trial01","6","TMP","C1",5,0.029,12.7537355479904,439.783984413463
"Trial03_KRLr3_50",-27.369470477397,0.944111016561328,"KriLR111","Trial01","6","TMP","G3",11,0.0265,-14.4122678736085,-543.859165041832
"Trial03_KRLr3_51",-9.43107554391224,0.722057113045284,"KriLR112","Trial01","6","TMP","G5",12,0.0197,3.52612705987618,178.991221313512
"Trial03_KRLr3_53",-5.82592453365594,0.812802790725552,"KriLR115","Trial01","6","TMP","I1",15,0.0349,7.13127807013248,204.334615190042
"Trial03_KRLr3_54",-3.42657955378709,0.447965284692779,"KriLR118","Trial01","6","TMP","J2",18,0.0275,9.53062305000132,346.568110909139
"Trial03_KRLr3_55",-17.3650310541038,0.924910553091723,"KriLR119","Trial01","6","TMP","J4",19,0.0334,-4.40782845031537,-131.970911686089
"Trial03_KRLr3_56",-4.74805569901887,0.525735798387643,"KriLR223","Trial02","2","CHG","B2",4,0.0215,2.02207003244345,94.0497689508582
"Trial03_KRLr3_57",-15.5952971515263,0.926794873546783,"KriLR227","Trial02","2","CHG","C5",8,0.0373,-8.82517142006399,-236.599769974906
"Trial04_KRLr4_58",-13.0321790352611,0.921514683741315,"KriLR229","Trial02","2","CHG","E5",10,0.0308,-6.26205330379877,-203.313418954505
"Trial04_KRLr4_59",-3.36546121097384,0.151152773301816,"KriLR233","Trial02","2","CHG","H2",14,0.0416,3.40466452048849,81.8428971271271
"Trial04_KRLr4_62",-5.46242366909603,0.752867988527047,"KriLR235","Trial02","2","CHG","I3",16,0.0429,1.3077020623663,30.482565556324
"Trial04_KRLr4_64",-9.06926217574195,0.672422789289493,"KRLr3_39","Trial03","1","TMP","A2",1,0.026,-0.48683559200035,-18.7244458461673
"Trial04_KRLr4_67",-26.2487474317069,0.886296531654977,"KRLr3_40","Trial03","1","TMP","A4",2,0.0363,-17.6663208479653,-486.675505453591
"Trial04_KRLr4_68",-0.155172310123388,0.00522369525726599,"KRLr3_44","Trial03","1","TMP","C2",6,0.0292,8.42725427361821,288.604598411583
"Trial04_KRLr4_69",-10.9605805684851,0.915991444131017,"KRLr3_45","Trial03","1","TMP","C4",7,0.0216,-2.37815398474352,-110.099721515904
"Trial04_KRLr4_70",-6.80806606669115,0.791774278629207,"KRLr3_49","Trial03","1","TMP","G2",11,0.0425,1.77436051705045,41.7496592247164
"Trial04_KRLr4_74",-7.90341561322589,0.962885407981465,"KRLr3_50","Trial03","1","TMP","G4",12,0.0538,0.679010970515709,12.6210217567976
"Trial04_KRLr4_75",-24.5815071432728,0.978800266220618,"KRLr3_54","Trial03","1","TMP","I4",16,0.0222,-15.9990805595312,-720.679304483386
"Trial04_KRLr4_76",-6.49307985182553,0.895243732398211,"KRLr3_55","Trial03","1","TMP","J1",17,0.0405,2.08934673191607,51.5888081954585
